dirs,phase,timepoint,phase_timepoint,is_duplicated
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTPP/wk3,GTPP,wk3,GTPP_wk3,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTPP/wk7,GTPP,wk7,GTPP_wk7,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTQ/wk10,GTQ,wk10,GTQ_wk10,FALSE
/media//gmobot/New Volume/GWAS_Transformation/GTQ/wk10,GTQ,wk10,GTQ_wk10,TRUE
/media//gmobot/Elements_12/Elements_12/GWAS_Transformation/GTQ/wk3,GTQ,wk3,GTQ_wk3,FALSE
/media//gmobot/Seagate Portable Drive/GWAS_Transformation/GTQ/wk7,GTQ,wk7,GTQ_wk7,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTQQ/wk10,GTQQ,wk10,GTQQ_wk10,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTQQ/wk3,GTQQ,wk3,GTQQ_wk3,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTQQ/wk7,GTQQ,wk7,GTQQ_wk7,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTR/wk10,GTR,wk10,GTR_wk10,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTR/wk3,GTR,wk3,GTR_wk3,FALSE
/media//gmobot/Elements_12/Elements_12/GWAS_Transformation/GTR/wk3,GTR,wk3,GTR_wk3,TRUE
/media//gmobot/New Volume/GWAS_Transformation/GTR/wk7,GTR,wk7,GTR_wk7,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTRR/wk10,GTRR,wk10,GTRR_wk10,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTRR/wk3,GTRR,wk3,GTRR_wk3,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTRR/wk7,GTRR,wk7,GTRR_wk7,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTS/wk10,GTS,wk10,GTS_wk10,FALSE
/media//gmobot/Seagate Portable Drive/GWAS_Transformation/GTS/wk3,GTS,wk3,GTS_wk3,FALSE
/media//gmobot/Seagate Portable Drive/GWAS_Transformation/GTS/wk7,GTS,wk7,GTS_wk7,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTSS/wk10,GTSS,wk10,GTSS_wk10,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTSS/wk3,GTSS,wk3,GTSS_wk3,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTSS/wk7,GTSS,wk7,GTSS_wk7,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTT/wk10,GTT,wk10,GTT_wk10,FALSE
/media//gmobot/Seagate Portable Drive/GWAS_Transformation/GTT/wk3,GTT,wk3,GTT_wk3,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTT/wk7,GTT,wk7,GTT_wk7,FALSE
/media//gmobot/Elements_13/Elements_13/GWAS_Transformation/GTTT/wk10,GTTT,wk10,GTTT_wk10,FALSE
/media//gmobot/Elements_13/Elements_13/GWAS_Transformation/GTTT/wk3,GTTT,wk3,GTTT_wk3,FALSE
/media//gmobot/Elements_13/Elements_13/GWAS_Transformation/GTTT/wk7,GTTT,wk7,GTTT_wk7,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTU/wk10,GTU,wk10,GTU_wk10,FALSE
/media//gmobot/Seagate Portable Drive/GWAS_Transformation/GTU/wk3,GTU,wk3,GTU_wk3,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTU/wk7,GTU,wk7,GTU_wk7,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTUU/wk10,GTUU,wk10,GTUU_wk10,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTUU/wk3,GTUU,wk3,GTUU_wk3,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTUU/wk7,GTUU,wk7,GTUU_wk7,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTV/wk10,GTV,wk10,GTV_wk10,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTV/wk3,GTV,wk3,GTV_wk3,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTV/wk7,GTV,wk7,GTV_wk7,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTVV/wk10,GTVV,wk10,GTVV_wk10,FALSE
/media//gmobot/Elements_14/Elements_14/GWAS_Transformation/GTVV/wk3,GTVV,wk3,GTVV_wk3,FALSE
/media//gmobot/Elements_13/Elements_13/GWAS_Transformation/GTVV/wk7,GTVV,wk7,GTVV_wk7,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTW/wk10,GTW,wk10,GTW_wk10,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTW/wk3,GTW,wk3,GTW_wk3,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTW/wk7,GTW,wk7,GTW_wk7,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTWW/wk10,GTWW,wk10,GTWW_wk10,FALSE
/media//gmobot/Elements_13/Elements_13/GWAS_Transformation/GTWW/wk3,GTWW,wk3,GTWW_wk3,FALSE
/media//gmobot/Elements_13/Elements_13/GWAS_Transformation/GTWW/wk7,GTWW,wk7,GTWW_wk7,FALSE
/media//gmobot/Easystore_longerm_storage_2/GWAS_Transformation/GTX/wk10,GTX,wk10,GTX_wk10,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTX/wk3,GTX,wk3,GTX_wk3,FALSE
/media//gmobot/Easystore_longerm_storage_2/GWAS_Transformation/GTX/wk7,GTX,wk7,GTX_wk7,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTXX/wk10,GTXX,wk10,GTXX_wk10,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTXX/wk3,GTXX,wk3,GTXX_wk3,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTXX/wk7,GTXX,wk7,GTXX_wk7,FALSE
/media//gmobot/Easystore_longerm_storage_2/GWAS_Transformation/GTY/wk10,GTY,wk10,GTY_wk10,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTY/wk3,GTY,wk3,GTY_wk3,FALSE
/media//gmobot/Easystore_longerm_storage_2/GWAS_Transformation/GTY/wk7,GTY,wk7,GTY_wk7,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTYY/wk10,GTYY,wk10,GTYY_wk10,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTYY/wk3,GTYY,wk3,GTYY_wk3,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTYY/wk7,GTYY,wk7,GTYY_wk7,FALSE
/media//gmobot/Easystore_longerm_storage_2/GWAS_Transformation/GTZ,GTZ,"",GTZ_,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTZ/wk 10,GTZ,wk 10,GTZ_wk 10,FALSE
/media//gmobot/Easystore_longerm_storage_2/GWAS_Transformation/GTZ/wk10,GTZ,wk10,GTZ_wk10,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTZ/wk3,GTZ,wk3,GTZ_wk3,FALSE
/media//gmobot/Easystore_longerm_storage_2/GWAS_Transformation/GTZ/wk7,GTZ,wk7,GTZ_wk7,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTZZ/wk10,GTZZ,wk10,GTZZ_wk10,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTZZ/wk3,GTZZ,wk3,GTZZ_wk3,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTZZ/wk7,GTZZ,wk7,GTZZ_wk7,FALSE
